claim_id,candidate_claim,status,supporting_artifact,allowed_wording,forbidden_wording,notes
C01,Fractional SEIT has lower forecasting error than integer SEIT.,SUPPORTED_WITHIN_MODEL_FAMILY,results_canonical/05_rolling_origin/table_forecasting_by_horizon.csv,"The fractional-order SEIT produced lower observed errors than the independently refitted integer-order SEIT across all evaluated horizons.","Fractional SEIT is generally superior for tuberculosis forecasting.",Holds at all 12 horizons; within-model-family comparison only.
C02,Fractional SEIT outperforms persistence.,NOT_SUPPORTED,results_canonical/05_rolling_origin/table_skill_by_horizon.csv,"Fractional SEIT showed negative observed skill relative to persistence at all evaluated horizons.","Fractional SEIT outperforms persistence.",RMSE and MAE skill both negative h=1..12.
C03,Fractional SEIT outperforms SARIMA.,NOT_SUPPORTED,results_canonical/05_rolling_origin/table_skill_by_horizon.csv,"Fractional SEIT showed negative observed skill relative to SARIMA at all evaluated horizons.","Fractional SEIT is superior to SARIMA.",RMSE and MAE skill both negative h=1..12.
C04,Fractional SEIT has positive forecast skill through seven months.,SUPPORTED_ONLY_VS_SEASONAL_NAIVE,results_canonical/05_rolling_origin/table_horizon_summary.csv,"Relative to the seasonal-naive baseline, observed RMSE skill remained positive from h=1 through h=7.","The useful forecasting horizon is seven months.",Baseline-specific; does not hold vs persistence or SARIMA (H_relax=0 for both).
C05,Fractional order improves operational forecasting generally.,NOT_SUPPORTED,results_canonical/05_rolling_origin/table_skill_by_horizon.csv,"No general operational forecasting advantage was observed; skill was negative vs 2 of 3 baselines at every horizon.","Fractional order improves operational forecasting generally.",Contradicted by C02/C03; only partially supported per C04.
C06,alpha < 1 proves epidemiological memory.,NOT_SUPPORTED,IDENTIFIABILITY_AUDIT_REPORT.md,"The fitted fractional order was stable across optimization seeds and predefined alpha-bound sensitivity.","The data prove biological or epidemiological memory.",Stability of a numeric estimate is not evidence of a biological mechanism.
C07,R0 remains above one across near-equivalent admissible solutions.,SUPPORTED,results_canonical/03_R0_stability/table_R0_stability_summary.csv,"Across the predefined near-equivalent solution set, the R0 functional ranged from 1.1542 to 1.1892 and remained above one.","R0 was above one across every profile solution.",Full profile pool (n=33) contains 2 solutions with R0<1 -- see table_full_profile_diagnostic.csv; never conflate the two sets.
C08,The disease-free equilibrium is locally unstable across near-equivalent solutions.,SUPPORTED,results_canonical/03_R0_stability/table_R0_stability_summary.csv,"Across all 25 near-equivalent admissible solutions, the disease-free equilibrium was locally unstable under the implemented Caputo/Matignon criterion.","The disease-free equilibrium is unstable under all conditions.",n_stable=0/n_unstable=25/n_ambiguous=0 within the admissible set only; full profile pool has 2 stable (diagnostic-only) points.
C09,"beta, gamma, and d are precisely identified epidemiological rates.",NOT_SUPPORTED,IDENTIFIABILITY_AUDIT_REPORT.md,"beta, gamma, and d are weakly identifiable individually and must not be reported as precise rate estimates.","beta/gamma/d were precisely estimated at [value].",beta ~5.4x spread, gamma ~5.3x spread, d >100x spread across near-equivalent solutions despite near-identical calibration RMSE.
C10,The historical approximately 48% optimal-control reduction is supported.,NOT_VERIFIED,PROJECT_CANON.md,"The historical ~48% optimal-control claim remains unverified and REFERENCE_ONLY_NOT_EVIDENCE.","The 48% reduction was confirmed/reproduced.",Optimal control was never implemented in this reimplementation; out of scope for this task and all prior tasks.
C11,Fractional SEIT is statistically superior or inferior to a forecasting baseline.,NOT_TESTED,results_canonical/05_rolling_origin/table_skill_by_horizon.csv,"Observed baseline-relative skill was positive or negative as reported in the descriptive rolling-origin evaluation.","Statistically significant superiority. Statistically significant inferiority.",Inferential comparison would require a pre-specified horizon-wise dependence-robust (HAC) forecast-comparison protocol, not yet performed -- see KNOWN_LIMITATIONS.md L10-L11.
