claim_id,claim_summary,canonical_status,manuscript_role,section,supporting_artifact,supporting_rows_or_subset,key_numbers,permitted_wording,forbidden_wording,required_qualifier
C01,Fractional SEIT has lower forecasting error than integer SEIT,SUPPORTED_WITHIN_MODEL_FAMILY,Main finding (R1),Results R1,"results_canonical/04_long_open_loop/table_long_open_loop.csv; results_canonical/05_rolling_origin/table_forecasting_by_horizon.csv","long-open-loop 2 rows (fractional/integer); rolling-origin fractional+integer rows, all 12 horizons","fractional RMSE=1117.960 vs integer RMSE=1759.538 (long open-loop); lower RMSE/MAE at all h=1-12 (rolling-origin)","The fractional-order SEIT produced lower observed errors than the independently refitted integer-order SEIT across all evaluated horizons.","Fractional SEIT is generally superior for tuberculosis forecasting.","within-model-family comparison only"
C02,Fractional SEIT outperforms persistence,NOT_SUPPORTED,Main finding (R2 / turning point),Results R2,results_canonical/05_rolling_origin/table_skill_by_horizon.csv,"model=fractional, baseline=persistence, all 12 horizons, both metrics (24 rows)",skill<0 for h=1-12 (RMSE and MAE),"Fractional SEIT showed negative observed skill relative to persistence at all evaluated horizons.","Fractional SEIT outperforms persistence.","descriptive result only; no significance claim"
C03,Fractional SEIT outperforms SARIMA,NOT_SUPPORTED,Main finding (R2 / turning point),Results R2,results_canonical/05_rolling_origin/table_skill_by_horizon.csv,"model=fractional, baseline=SARIMA, all 12 horizons, both metrics (24 rows)",skill<0 for h=1-12 (RMSE and MAE),"Fractional SEIT showed negative observed skill relative to SARIMA at all evaluated horizons.","Fractional SEIT is superior to SARIMA.","descriptive result only; SARIMA order frozen on 2001-2020 data only"
C04,Fractional SEIT has positive forecast skill through seven months,SUPPORTED_ONLY_VS_SEASONAL_NAIVE,Main finding (R3),Results R3,"results_canonical/05_rolling_origin/table_skill_by_horizon.csv; table_horizon_summary.csv","model=fractional, baseline=seasonal_naive_12, h=1-7 positive / h=8-12 negative","H_relax=7, H_strict_from_h1=7 (RMSE and MAE)","Relative to the seasonal-naive baseline, observed RMSE skill remained positive from h=1 through h=7.","The useful forecasting horizon is seven months.","baseline-specific descriptor; does not hold vs persistence or SARIMA"
C05,Fractional order improves operational forecasting generally,NOT_SUPPORTED,Synthesis statement (Results R2 / Conclusion),Results R2; Conclusion,results_canonical/05_rolling_origin/table_skill_by_horizon.csv,"all fractional-vs-baseline rows (skill negative vs 2 of 3 baselines at every horizon)","2 of 3 baselines: negative skill h=1-12; 1 of 3: bounded positive skill h=1-7","No general operational forecasting advantage was observed; skill was negative vs persistence and SARIMA at every horizon.","Fractional order improves operational forecasting generally.","contradicted by C02/C03; only C04 partially supports it"
C06,alpha < 1 proves epidemiological memory,NOT_SUPPORTED,Methodological caveat,Discussion; Introduction (novelty caution),IDENTIFIABILITY_AUDIT_REPORT.md,"alpha multiseed CV~0.08%, range 0.9620-0.9640; alpha-bound sensitivity result",alpha stable across seeds and bound restriction,"The fitted fractional order was stable across optimization seeds and predefined alpha-bound sensitivity.","The data prove biological or epidemiological memory.","numeric stability of an estimate is not evidence of a biological mechanism"
C07,R0 remains above one across near-equivalent admissible solutions,SUPPORTED,Main finding (R4),Results R4,results_canonical/03_R0_stability/table_R0_stability_summary.csv,NEAR_EQUIVALENT_ADMISSIBLE_SET n=25,"R0 min=1.1542, Q1=1.1682, median=1.1735, Q3=1.1770, max=1.1892","Across the predefined near-equivalent solution set, the R0 functional ranged from 1.1542 to 1.1892 and remained above one.","R0 was above one across every profile solution.","practical-identifiability envelope, not a confidence interval; full 33-solution pool has 2 R0<1 members and must not be conflated"
C08,The disease-free equilibrium is locally unstable across near-equivalent solutions,SUPPORTED,Main finding (R5),Results R5,results_canonical/03_R0_stability/table_R0_stability_summary.csv,NEAR_EQUIVALENT_ADMISSIBLE_SET n=25,"DFE_stable=0, DFE_unstable=25, DFE_ambiguous=0","Across all 25 near-equivalent admissible solutions, the disease-free equilibrium was locally unstable under the implemented Caputo/Matignon criterion.","The disease-free equilibrium is unstable under all conditions.","restricted to the 25-member near-equivalent admissible set; full profile pool has 2 stable diagnostic-only points"
C09,"beta, gamma, and d are precisely identified epidemiological rates",NOT_SUPPORTED,Main finding (R4) / methodological caveat,Results R4; Methods (identifiability),IDENTIFIABILITY_AUDIT_REPORT.md,"multiseed + profile-objective evidence across near-equivalent solutions","beta ~5.4x spread, gamma ~5.3x spread, d >100x spread, at calibration RMSE CV~0.35%","beta, gamma, and d are weakly identifiable individually and must not be reported as precise rate estimates.","beta/gamma/d were precisely estimated at [value].","never state a specific beta/gamma/d point value as a scientific finding"
C10,The historical approximately 48% optimal-control reduction is supported,NOT_VERIFIED,Explicitly excluded from evidence,Introduction (historical framing only, if used); Discussion (scope boundary),PROJECT_CANON.md,N/A (optimal control not implemented in this study),N/A,"The historical ~48% optimal-control claim remains unverified and REFERENCE_ONLY_NOT_EVIDENCE.","The 48% reduction was confirmed/reproduced.","optimal control out of scope for this study; historical manuscript is REFERENCE_ONLY_NOT_EVIDENCE"
C11,Fractional SEIT is statistically superior or inferior to a forecasting baseline,NOT_TESTED,Explicit inference-boundary statement,Discussion (scope boundary); Methods (inference boundary),results_canonical/05_rolling_origin/table_skill_by_horizon.csv,all skill rows (descriptive only),N/A,"Observed baseline-relative skill was positive or negative as reported in the descriptive rolling-origin evaluation.","Statistically significant superiority. Statistically significant inferiority.","requires a pre-specified horizon-wise, dependence-robust (HAC) forecast-comparison protocol not yet performed; DM tests explicitly deferred"
M01,Observed monthly cases represent an E->I incidence flow (not the I(t) stock),METHODOLOGICAL/DESCRIPTIVE,Methods contract statement,Methods,docs/MODEL_CONTRACT.md Sec 6; results_canonical/01_model_contract/table_model_contract_status.csv,N/A,N/A,"Observed reported cases are modeled as an incidence flow associated with the E->I transition.",N/A,"central methodological correction relative to a naive stock interpretation"
M02,Reference-time scaling resolves the fractional dimensional-consistency conflict,METHODOLOGICAL/DESCRIPTIVE,Methods contract statement,Methods,docs/FRACTIONAL_DIMENSIONAL_CONSISTENCY.md,N/A,tau0=1 month; numerical scaling factor = 1.0 exactly,"REFERENCE_TIME_SCALING_RESOLVES_CONFLICT; forecasts numerically unchanged.",N/A,"no recalibration was required or performed"
M03,Predictive identifiability is robust despite weak individual parameter identifiability,METHODOLOGICAL/DESCRIPTIVE,Supporting evidence for R4,Results R4,IDENTIFIABILITY_AUDIT_REPORT.md,multiseed prediction dispersion,"calibration prediction CV~0.19%, validation prediction CV~0.58%","Predictions were highly stable across near-equivalent parameter solutions despite individual parameter instability.",N/A,"supports, but is distinct from, the R0-functional-robustness claim (C07)"
M04,Rolling-origin protocol is leakage-free,METHODOLOGICAL/DESCRIPTIVE,Methods contract statement,Methods,FORECASTING_EVALUATION_REPORT.md Sec 4,"780/780 rows, 0 duplicates, 0 temporal violations",780 = 13 origins x 12 horizons x 5 models,"No 2021-2022 observation entered any fit, extrapolation, or model-order selection.",N/A,N/A
