artifact_id,artifact_path,evidence_layer,source_artifact,generating_script,scientific_role,status,notes
EV01,results_canonical/01_model_contract/table_model_contract_status.csv,MODEL_CONTRACT,"outputs/audits/dataset_integrity.json, docs/MODEL_CONTRACT.md",scripts/audit_dataset.py,Dataset integrity + frozen model/observation contract summary,COMPLETE,264/264 observations, 0 anomalies.
EV02,docs/MODEL_CONTRACT.md,MODEL_CONTRACT,manuscript/source/BIOMATEMATICA_UNICAMP.docx,N/A,Frozen SEIT structure/bounds/observation-model contract,COMPLETE,Unchanged since freeze.
EV03,docs/FRACTIONAL_DIMENSIONAL_CONSISTENCY.md,MODEL_CONTRACT,src/tb_seit/model.py,N/A,Reference-time dimensional-consistency derivation,COMPLETE,REFERENCE_TIME_SCALING_RESOLVES_CONFLICT.
EV04,outputs/audits/dimensional_scaling_numerical_equivalence.csv,MODEL_CONTRACT,outputs/calibration/*_parameters.csv,scripts/dimensional_audit_numerical_equivalence.py,Numerical proof scaling leaves predictions unchanged,COMPLETE,max abs/rel/RMSE difference = 0.0 exactly.
EV05,outputs/audits/parameter_robustness.csv,IDENTIFIABILITY,outputs/calibration/fractional_multiseed.csv,scripts/parameter_robustness_and_kill_test.py,Per-parameter CV across 5 seeds,COMPLETE,"beta CV~58%, gamma CV~60%, d CV~82%, sigma/alpha CV<0.6%."
EV06,outputs/identifiability/profile_objective.csv,IDENTIFIABILITY,data/raw/tb_mes.xlsx,scripts/profile_objective.py,Profile-objective analysis (beta/gamma/d flat; alpha peaked),COMPLETE,28 rows (4 parameters x 7 grid points).
EV07,outputs/identifiability/prediction_dispersion.csv,IDENTIFIABILITY,outputs/calibration/fractional_multiseed.csv,scripts/identifiability_ensemble.py,Predictive-identifiability evidence,COMPLETE,Mean monthly CV 0.19% (calibration) / 0.58% (validation).
EV08,results_canonical/02_identifiability/table_full_profile_diagnostic.csv,IDENTIFIABILITY,outputs/identifiability/R0_evidence_set_classification.csv,scripts/build_canonical_evidence_package.py,FULL_PROFILE_DIAGNOSTIC_POOL (diagnostic only),COMPLETE,"n=33, R0 in [0.6393,1.6149], 2 solutions R0<1 -- never claim uniform R0>1 for this pool."
EV09,IDENTIFIABILITY_AUDIT_REPORT.md,IDENTIFIABILITY,"EV05, EV06, EV07",N/A,Full identifiability audit report and classification,COMPLETE,"PARAMETER=WEAK, PREDICTIVE=ROBUST, R0_FUNCTIONAL=ROBUST, ALPHA=ROBUST."
EV10,results_canonical/03_R0_stability/table_R0_stability_summary.csv,MECHANISTIC,"outputs/identifiability/R0_evidence_set_classification.csv, outputs/audits/dfe_stability_by_evidence_set.csv",scripts/build_canonical_evidence_package.py,Primary R0/DFE-stability result (near-equivalent admissible set only),COMPLETE,"n=25, R0 in [1.1542,1.1892], median 1.1735, IQR [1.1682,1.1770]; DFE 0 stable/25 unstable/0 ambiguous."
